Depth CCSF-A (mcd),Al/Ti
2.44,0.825514403
2.46,0.915730337
2.48,0.974358974
2.5,0.754453912
2.52,0.920603015
2.54,0.677605066
2.56,0.786875726
2.58,0.895800933
2.6,0.707746479
2.62,0.830893119
2.64,0.640687679
2.66,1.023130301
2.68,0.966784452
2.7,1.039182283
2.72,0.928273561
2.74,0.752736639
2.76,0.814863968
2.78,0.938226744
2.8,0.929225645
2.82,0.763812993
2.84,0.76910299
2.86,0.79947644
2.88,0.910499139
2.9,0.848789132
2.92,0.766871166
2.94,0.909307876
3.04,0.650312809
3.06,0.667369161
3.08,0.778186838
3.1,0.620749782
3.12,0.864549579
3.14,0.716433942
3.16,0.773705643
3.18,0.459556192
3.2,0.856168277
3.22,0.888319088
3.24,0.685624013
3.26,0.642857143
3.28,0.650910881
3.3,0.717706013
3.32,0.883852691
3.34,0.96868476
3.36,0.635012386
3.38,0.667295005
3.4,1.003811944
3.42,0.755882353
3.44,1.152923538
3.46,0.932311622
3.48,1.029525032
3.5,0.886471145
3.52,1.023728814
3.54,1.171764706
3.56,1.052165354
3.58,1.116935484
3.6,0.947421638
3.62,0.933209647
3.64,0.688024409
3.66,0.630573248
3.68,0.893533638
3.7,0.818181818
3.72,0.786656891
3.74,0.771717172
3.76,0.903623747
3.78,0.730563003
3.8,0.821665438
3.82,0.790662651
3.84,0.906329114
3.86,0.877971474
3.88,0.909497207
3.9,0.953961456
3.92,0.962414579
3.94,1.036101083
3.96,1.362068966
3.98,1.338461538
4,1.285932722
4.02,2.125279642
4.04,1.185238784
4.06,1.231884058
4.08,1.133200795
4.1,0.938977879
4.12,0.942215088
4.14,1.018551237
4.16,1.084349593
4.18,1.034449761
4.2,0.843708609
4.22,1.066109422
4.24,1.249536178
4.26,1.196443692
4.28,0.771108179
4.3,0.738115096
4.32,0.773960217
4.34,0.834876543
4.36,0.955193483
4.38,0.941435768
4.4,0.701903605
4.42,0.608148592
4.44,0.666666667
4.54,0.965729952
4.56,0.806430007
4.58,0.900473934
4.6,0.726205997
4.62,0.627507163
4.64,1.038058991
4.66,0.935582822
4.68,0.69695084
4.7,1.044207317
4.72,0.703472222
4.74,0.729873586
4.76,0.647945205
4.78,0.692504259
4.8,0.652109548
4.82,0.880909091
4.84,0.849833148
4.86,0.618738404
4.88,0.767494357
4.9,0.807272727
4.92,0.889035667
4.94,1.131693198
4.96,0.940079893
4.98,1.214092141
5,1.239825581
5.02,1.027577938
5.04,1.018162393
5.06,1.209401709
5.08,0.818011257
5.1,0.843347639
5.12,0.661876585
5.14,0.749027237
5.16,0.764363031
5.18,0.761822872
5.2,0.766364552
5.22,0.520400308
5.24,0.67485182
5.26,0.625
5.28,0.599275362
5.3,0.848901099
5.32,0.753103448
5.34,0.880063542
5.36,0.674329502
5.38,0.665558511
5.4,0.884188627
5.42,0.687581699
5.44,0.756906077
5.46,0.826582278
5.48,0.81875916
5.5,0.665027054
5.52,0.684111268
5.54,0.658611599
5.56,0.710347944
5.58,0.646970456
5.6,0.512135922
5.62,0.529464286
5.64,0.51563208
5.66,0.547881356
5.68,0.578081092
5.7,0.486316568
5.72,0.569579288
5.74,0.592727273
5.76,0.619909502
5.78,0.616617211
5.8,0.54375
5.82,0.557106599
5.84,0.712807245
5.86,0.703499079
5.88,0.651940299
5.9,0.74853114
5.92,0.810666667
5.94,0.721064302
6.04,0.590095238
6.06,0.753333333
6.08,0.792802236
6.1,0.755293487
6.12,0.687304743
6.14,0.68836689
6.16,0.752015046
6.18,0.74048941
6.2,0.763388938
6.22,0.677433435
6.24,0.713965087
6.26,0.767878427
6.28,0.764751253
6.3,0.760842105
6.32,0.764307484
6.34,0.685240964
6.36,0.751267427
6.38,0.70269556
6.4,0.681774037
6.42,0.704452163
6.44,0.722186077
6.46,0.703382838
6.48,0.77727784
6.5,0.667737494
6.52,0.736683849
6.54,0.729059429
6.56,0.668783586
6.58,0.673422386
6.6,0.756729811
6.62,0.748946136
6.64,0.849544627
6.66,0.736615163
6.68,0.816771334
6.7,0.736856592
6.72,0.719756098
